feature,importance
employee_deleted_encoded,0.3604196152043015
employee_last_response_code_encoded,0.2971672539491637
employee_industry_encoded,0.17164810247791104
employee_education_count_encoded,0.08709201116273478
employee_experience_6_duration_encoded,0.053664809902625996
company_company_locations_collection_count_encoded,0.009054207760957857
employee_member_recommendations_collection_1_recommendation_encoded,0.007136205455363083
employee_member_languages_collection_1_member_language_list_encoded,0.00666407308120704
company_industry_encoded,0.005240324889512839
employee_member_recommendations_collection_2_recommendation_encoded,0.0019133961162221612
