feature,importance
employee_experience_count_missing,0.14000000000000004
employee_canonical_hash_te,0.12100297867901572
employee_last_response_code_encoded,0.11074207722726705
employee_created_te,0.11025443543321363
employee_hash_te,0.10999999999999993
employee_location_te,0.08120969942105412
employee_deleted_encoded,0.08052218378920674
employee_connections_count_missing,0.05925542939544453
employee_experience_json_te,0.048480167720788704
employee_recommendations_count_missing,0.03975054626140728
employee_experience_te,0.03975025410193114
employee_title_te,0.029496312558684193
employee_experience_1_created_te,0.019042088251493082
employee_experience_1_order_in_profile_encoded,0.010493827160493838
employee_headline_te,1.4332835397900704e-16
